week_id,as_of_date,series_id,theme_id,label,unit,value,value_prior_week,change_pct,source_type,source_name,source_url,is_primary,data_quality,note,recorded_at
2026-W32,2026-08-07,cf-agent-request-growth,agentic-commerce,"Daily AI agent requests, year-over-year growth",percent,1700,,,issuer_results,Cloudflare Q2 FY2026 investor presentation,,true,VERIFIED 2026-08-12 against src-2026-w33-cloudflare-q2-deck. Cloudflare states it directly.,"Value confirmed, SCOPE CORRECTED: Cloudflare states this of DAILY AI AGENT REQUESTS, not of agent share of traffic. It appears in the investor deck and was not said on the call. A base one year ago that was near zero makes a four-figure percentage arithmetically easy; the level matters more than the rate.",2026-08-10T21:18:00.793Z
2026-W32,2026-08-07,cf-monetizable-share-high,agentic-commerce,Share of requests management considers monetizable (high end),percent,10,,,issuer_results,Cloudflare Q2 FY2026 earnings call (Matthew Prince),,false,VERIFIED 2026-08-12 against src-2026-w33-cloudflare-q2-call. Quoted verbatim.,"Prince: ""somewhere between 1% and 10% of those you could monetize through some sort of a micro transaction."" Upper end of a management estimate, not a forecast.",2026-08-10T21:18:00.793Z
2026-W32,2026-08-07,cf-monetizable-share-low,agentic-commerce,Share of requests management considers monetizable (low end),percent,1,,,issuer_results,Cloudflare Q2 FY2026 earnings call (Matthew Prince),,false,VERIFIED 2026-08-12 against src-2026-w33-cloudflare-q2-call. Quoted verbatim.,"Prince: ""somewhere between 1% and 10% of those you could monetize through some sort of a micro transaction."" A ten-fold range offered as an estimate, and the low end is the honest planning figure.",2026-08-10T21:18:00.793Z
2026-W32,2026-08-07,cf-nonhuman-traffic-share,agentic-commerce,Non-human share of Cloudflare network traffic,percent,50,,,issuer_results,Cloudflare Q2 FY2026 earnings call (Matthew Prince),,false,VERIFIED 2026-08-12 against src-2026-w33-cloudflare-q2-call. Third-party transcript of a primary event; Cloudflare's own transcript was not retrievable.,"Prince: ""more than 50% of the traffic flowing across Cloudflare's network was not human."" The label was already right and the thread's framing was not: the company says NON-HUMAN, never that AI agents crossed 50%. Cloudflare's own bot report publishes no definition separating bots, crawlers, scrapers and agents, so the agent share within this majority is unknown and is the number the thesis actually needs.",2026-08-10T21:18:00.793Z
2026-W32,2026-08-07,cf-requests-per-second,agentic-commerce,Cloudflare requests handled per second,requests_per_second,500000000,,,issuer_results,Cloudflare Q2 FY2026 earnings call (Matthew Prince),,false,"VERIFIED 2026-08-12 against src-2026-w33-cloudflare-q2-call, but as a rounded conversational figure rather than a disclosed metric.","Prince: ""We handle, let's say, about half a billion requests per second."" The hedge is his. Treat as an order of magnitude: it will not carry the two-significant-figure arithmetic the opening thread built on it.",2026-08-10T21:18:00.793Z
2026-W33,2026-08-15,stablecoin-supply-chain-base,stablecoin-payment-rails,Stablecoin supply on Base,usd,4850976378,4810417081,0.843,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,Classified as payment-oriented. The classification is a judgement; the figure is not.,2026-08-15T06:26:03.713Z
2026-W33,2026-08-15,stablecoin-supply-chain-polygon,stablecoin-payment-rails,Stablecoin supply on Polygon,usd,3035107437,3508540650,-13.494,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,Classified as payment-oriented. The classification is a judgement; the figure is not.,2026-08-15T06:26:03.713Z
2026-W33,2026-08-15,stablecoin-supply-chain-solana,stablecoin-payment-rails,Stablecoin supply on Solana,usd,15347734080,16176669679,-5.124,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,Classified as payment-oriented. The classification is a judgement; the figure is not.,2026-08-15T06:26:03.713Z
2026-W33,2026-08-15,stablecoin-supply-chain-tron,stablecoin-payment-rails,Stablecoin supply on Tron,usd,92123274727,91197134619,1.016,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,Classified as payment-oriented. The classification is a judgement; the figure is not.,2026-08-15T06:26:03.713Z
2026-W33,2026-08-15,stablecoin-supply-fiat-backed,stablecoin-payment-rails,Fiat-backed stablecoin supply,usd,281581675945,281305605904,0.098,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,The regulated-rail subset. Crypto-backed and algorithmic supply is excluded because it answers a different question.,2026-08-15T06:26:03.713Z
2026-W33,2026-08-15,stablecoin-supply-payment-chains,stablecoin-payment-rails,"Stablecoin supply on payment-oriented chains (Tron, Solana, Base, Polygon)",usd,115357092621,115692762028,-0.290,aggregator,DefiLlama,https://stablecoins.llama.fi/stablecoins,false,aggregator; on-chain supply is directly observable but the aggregation is a third party's,"Separates payment balances from trading collateral. Authored chain classification — argue with the list, not the arithmetic.",2026-08-15T06:26:03.713Z
