week_id,as_of_date,asset_id,price,currency,market_cap,enterprise_value,revenue_ttm,revenue_growth_yoy,gross_margin,operating_margin,free_cash_flow_margin,net_cash,valuation_metric,valuation_value,data_quality
2026-W29,2026-07-18,gev,1057.84,USD,284270000000,,,0.16,,,,,market_cap_usd,284270000000,mixed: price and market cap are third-party snapshots; operating data are issuer-reported
2026-W29,2026-07-18,vrt,289.56,USD,112970000000,,,0.3,,0.166,,,market_cap_usd,112970000000,mixed: price and market cap are third-party snapshots; operating data are issuer-reported
2026-W29,2026-07-18,crdo,206,USD,38410000000,,1335116000,2.057,,,,1400000000,market_cap_usd,38410000000,mixed: 2026-07-16 market snapshot; FY2026 financial data are SEC-filed
2026-W29,2026-07-18,rklb,67.62,USD,42000000000,,,0.635,0.382,,,1333351000,market_cap_usd,42000000000,mixed: market cap is an approximate third-party snapshot; financial data are SEC-filed
2026-W29,2026-07-18,mp,57.55,USD,8090000000,,,0.49,,,,1738335000,market_cap_usd,8090000000,mixed: price and market cap are third-party snapshots; financial data are SEC-filed
2026-W32,2026-08-08,gev,990.32,USD,263755471936,,,,,,,,market_cap_usd,263755471936,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-06-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,vrt,272.4,USD,104870778325,,,,,,,,market_cap_usd,104870778325,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-27 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,crdo,249.89,USD,46598961931,,,,,,,,market_cap_usd,46598961931,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-K share count reported for 2026-06-08 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,rklb,82.83,USD,47937944502,,,,,,,,market_cap_usd,47937944502,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,mp,51.11,USD,9102772163,,,,,,,,market_cap_usd,9102772163,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,nee,84.65,USD,176524154250,,,,,,,,market_cap_usd,176524154250,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-03-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,duk,124.85,USD,97332587692,,,,,,,,market_cap_usd,97332587692,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,so,92.69,USD,104489538774,,,,,,,,market_cap_usd,104489538774,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-03-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,ceg,269.89,USD,95624018518,,,,,,,,market_cap_usd,95624018518,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,vst,140.59,USD,47404483176,,,,,,,,market_cap_usd,47404483176,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-05-01 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,tln,347.71,USD,16660266997,,,,,,,,market_cap_usd,16660266997,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-08-05 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,aep,125.73,USD,,,,,,,,,,,price is a third-party market observation (2026-08-07); no share count available so no market cap; fundamentals not collected
2026-W32,2026-08-08,exc,45.61,USD,46668523357,,,,,,,,market_cap_usd,46668523357,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-03-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,d,67.39,USD,59266499608,,,,,,,,market_cap_usd,59266499608,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-24 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,etn,448.68,USD,174267312000,,,,,,,,market_cap_usd,174267312000,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-06-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,pwr,671.86,USD,101009712021,,,,,,,,market_cap_usd,101009712021,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-27 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,hubb,513.99,USD,,,,,,,,,,,price is a third-party market observation (2026-08-07); no share count available so no market cap; fundamentals not collected
2026-W32,2026-08-08,nvt,164.69,USD,26656383974,,,,,,,,market_cap_usd,26656383974,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-06-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,jci,152.21,USD,,,,,,,,,,,price is a third-party market observation (2026-08-07); no share count available so no market cap; fundamentals not collected
2026-W32,2026-08-08,carr,64.01,USD,53165452876,,,,,,,,market_cap_usd,53165452876,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-15 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,mod,195.6,USD,10388845685,,,,,,,,market_cap_usd,10388845685,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-24 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,smci,31.13,USD,18722157345,,,,,,,,market_cap_usd,18722157345,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,anet,188.67,USD,237955254338,,,,,,,,market_cap_usd,237955254338,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,mrvl,218.72,USD,191336256000,,,,,,,,market_cap_usd,191336256000,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-05-21 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,cohr,379.13,USD,74172735771,,,,,,,,market_cap_usd,74172735771,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-05-04 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,lite,890.17,USD,69255226000,,,,,,,,market_cap_usd,69255226000,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-30 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,alab,334.17,USD,57973517204,,,,,,,,market_cap_usd,57973517204,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-07-31 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,fn,562.38,USD,20149929181,,,,,,,,market_cap_usd,20149929181,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-04-24 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,cien,412.39,USD,58375009504,,,,,,,,market_cap_usd,58375009504,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-05-29 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,avgo,427.76,USD,2035102505496,,,,,,,,market_cap_usd,2035102505496,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-05-29 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,leu,191.37,USD,2616780558,,,,,,,,market_cap_usd,2616780558,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-K share count reported for 2022-03-01 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
2026-W32,2026-08-08,oklo,48.42,USD,9006974613,,,,,,,,market_cap_usd,9006974613,price is a third-party market observation (2026-08-07); market cap derived from it and the 10-Q share count reported for 2026-08-04 (SEC XBRL dei:EntityCommonStockSharesOutstanding); fundamentals not collected
